<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2007.02.12	0.90510	0.90870	0.90470	0.90700	3739	0	100
2007.02.13	0.90680	0.90960	0.90520	0.90860	6948	0	100
2007.02.14	0.90840	0.91440	0.90840	0.91220	7891	0	100
2007.02.15	0.91230	0.91620	0.91030	0.91110	7643	0	100
2007.02.16	0.91100	0.91580	0.91040	0.91480	5402	0	100
2007.02.19	0.91500	0.91750	0.91300	0.91500	3949	0	100
2007.02.20	0.91490	0.92030	0.91360	0.91990	5756	0	100
2007.02.21	0.92000	0.92400	0.91510	0.91760	7050	0	100
2007.02.22	0.91740	0.91870	0.91300	0.91630	6096	0	100
2007.02.23	0.91620	0.91820	0.91340	0.91750	5491	0	100
2007.02.26	0.91770	0.92170	0.91650	0.92040	5639	0	100
2007.02.27	0.92070	0.92410	0.91730	0.91850	7477	0	100
2007.02.28	0.91840	0.92470	0.91610	0.92130	8444	0	100
2007.03.01	0.92120	0.92310	0.91720	0.91880	9375	0	100
2007.03.02	0.91870	0.92190	0.91600	0.92040	7538	0	100
2007.03.05	0.91940	0.91980	0.90700	0.90730	9374	0	100
2007.03.06	0.90720	0.91390	0.90600	0.91070	7550	0	100
2007.03.07	0.91100	0.91790	0.91000	0.91470	6704	0	100
2007.03.08	0.91480	0.91810	0.91260	0.91660	5329	0	100
2007.03.09	0.91700	0.92010	0.91260	0.91410	5518	0	100
2007.03.12	0.91480	0.92180	0.91190	0.92110	5153	0	100
2007.03.14	0.91620	0.92540	0.91540	0.92440	6011	0	100
2007.03.15	0.92450	0.92910	0.92140	0.92690	5375	0	100
2007.03.16	0.92680	0.93600	0.92610	0.93520	6162	0	100
2007.03.19	0.93390	0.94480	0.93270	0.94220	7097	0	100
2007.03.20	0.94240	0.94350	0.92950	0.93240	7806	0	100
2007.03.21	0.93220	0.93420	0.92670	0.93390	6894	0	100
2007.03.22	0.93400	0.93700	0.93110	0.93220	6079	0	100
2007.03.23	0.93230	0.93520	0.92990	0.93340	5479	0	100
2007.03.26	0.93370	0.94200	0.93300	0.94000	5232	0	100
2007.03.27	0.94020	0.94050	0.93300	0.93400	5746	0	100
2007.03.28	0.93410	0.93610	0.92950	0.93340	4441	0	100
