<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2007.05.01	1.00140	1.00740	0.99920	1.00420	7164	0	80
2007.05.02	1.00410	1.00540	0.99960	1.00090	8617	0	80
2007.05.03	1.00110	1.00260	0.99620	1.00070	5913	0	80
2007.05.04	1.00080	1.00140	0.99190	0.99500	6166	0	80
2007.05.07	0.99320	0.99970	0.99310	0.99880	5190	0	80
2007.05.08	0.99870	1.01000	0.99830	1.00850	7807	0	80
2007.05.09	1.00860	1.00990	1.00630	1.00810	6002	0	80
2007.05.10	1.00820	1.01620	1.00490	1.00630	8645	0	80
2007.05.11	1.00620	1.01470	1.00360	1.01320	7870	0	80
2007.05.14	1.01330	1.01780	1.01310	1.01420	6073	0	80
2007.05.15	1.01430	1.01550	1.01090	1.01260	6584	0	80
2007.05.16	1.01250	1.01280	1.00500	1.00730	7266	0	80
2007.05.17	1.00720	1.01080	1.00610	1.00970	6961	0	80
2007.05.18	1.00960	1.01240	1.00610	1.00950	6883	0	80
2007.05.21	1.01090	1.01240	1.00690	1.00960	6823	0	80
2007.05.22	1.00980	1.01300	1.00630	1.00690	5977	0	80
2007.05.23	1.00680	1.01320	1.00670	1.00990	7449	0	80
2007.05.24	1.00970	1.01160	1.00380	1.00420	6828	0	80
2007.05.25	1.00410	1.00750	1.00260	1.00420	6760	0	80
2007.05.28	1.00460	1.00700	1.00390	1.00670	2840	0	80
2007.05.29	1.00660	1.00690	1.00020	1.00210	5047	0	80
2007.05.30	1.00200	1.00940	1.00090	1.00850	7053	0	80
2007.05.31	1.00840	1.01520	1.00690	1.01290	7823	0	80
2007.06.01	1.01280	1.02440	1.01280	1.02410	7337	0	80
2007.06.04	1.02310	1.02470	1.01790	1.02070	7697	0	80
2007.06.05	1.02060	1.02420	1.01620	1.01950	8867	0	80
2007.06.06	1.01940	1.02760	1.01900	1.02340	9140	0	80
2007.06.07	1.02350	1.03620	1.02210	1.02920	10245	0	80
2007.06.08	1.02930	1.04350	1.02900	1.04310	11834	0	80
2007.06.11	1.04320	1.04490	1.03790	1.04360	7722	0	80
2007.06.12	1.04370	1.04890	1.04210	1.04320	7177	0	80
2007.06.13	1.04330	1.04700	1.04080	1.04450	10169	0	80
2007.06.14	1.04480	1.04590	1.03770	1.04090	6511	0	80
2007.06.15	1.04080	1.04600	1.03990	1.04500	5263	0	80
2007.06.18	1.04520	1.04870	1.04170	1.04610	6250	0	80
2007.06.19	1.04590	1.05020	1.04480	1.04970	6856	0	80
2007.06.20	1.04980	1.05040	1.04300	1.04330	8117	0	80
2007.06.21	1.04340	1.05210	1.04320	1.05180	7054	0	80
2007.06.22	1.05170	1.05230	1.03860	1.04110	7763	0	80
2007.06.25	1.04180	1.04400	1.03840	1.04080	7596	0	80
2007.06.26	1.04090	1.04500	1.03740	1.03750	7793	0	80
2007.06.27	1.03740	1.03920	1.02540	1.03040	10115	0	80
2007.06.28	1.03020	1.04360	1.02990	1.04220	9172	0	80
2007.06.29	1.04210	1.04790	1.03480	1.03720	8944	0	80
2007.07.02	1.04030	1.04270	1.03570	1.03900	9142	0	80
2007.07.03	1.03880	1.04160	1.03560	1.03870	7454	0	80
2007.07.04	1.03860	1.04420	1.03830	1.04320	4042	0	80
2007.07.05	1.04310	1.04430	1.03870	1.04220	6565	0	80
2007.07.06	1.04210	1.04610	1.04150	1.04500	6289	0	80
2007.07.09	1.04470	1.04750	1.04410	1.04610	6271	0	80
2007.07.10	1.04590	1.04680	1.03240	1.03280	8953	0	80
2007.07.11	1.03290	1.04160	1.02880	1.04040	10942	0	80
2007.07.12	1.04040	1.04260	1.03550	1.04220	8671	0	80
2007.07.13	1.04210	1.04770	1.04020	1.04730	7932	0	80
2007.07.16	1.04540	1.05150	1.04530	1.04860	8340	0	80
2007.07.17	1.04850	1.05140	1.04670	1.04830	8616	0	80
2007.07.18	1.04840	1.05650	1.04670	1.05320	11140	0	80
2007.07.19	1.05280	1.05940	1.05180	1.05910	8732	0	80
2007.07.20	1.05900	1.06120	1.05110	1.05660	9048	0	80
2007.07.23	1.05590	1.06660	1.05380	1.06430	7752	0	80
2007.07.24	1.06410	1.06750	1.05860	1.05940	9983	0	80
2007.07.25	1.05950	1.07550	1.05800	1.07290	12780	0	80
2007.07.26	1.07280	1.07500	1.04240	1.04440	12005	0	80
2007.07.27	1.04450	1.05630	1.02760	1.02900	20753	0	80
2007.07.30	1.02460	1.03220	1.01700	1.03220	15001	0	80
2007.07.31	1.03230	1.03720	1.02000	1.02000	13343	0	80
2007.08.01	1.01990	1.03060	1.01200	1.03040	17600	0	80
2007.08.02	1.03050	1.03660	1.02090	1.03300	13277	0	80
2007.08.03	1.03310	1.03470	1.01550	1.01730	12363	0	80
2007.08.06	1.00840	1.02350	1.00760	1.02250	5806	0	80
2007.08.07	1.02270	1.02610	1.01390	1.02320	10948	0	80
2007.08.08	1.02340	1.03240	1.02100	1.03120	12118	0	80
2007.08.09	1.03130	1.03550	1.01530	1.01600	10976	0	80
2007.08.10	1.01590	1.01830	1.00370	1.01200	17834	0	80
2007.08.13	1.01370	1.01890	1.00740	1.01450	13478	0	80
2007.08.14	1.01440	1.01570	1.00880	1.00930	12916	0	80
2007.08.15	1.00940	1.01060	0.99680	0.99680	17022	0	80
2007.08.16	0.99700	0.99910	0.95050	0.96760	31146	0	80
2007.08.17	0.96810	0.97430	0.92800	0.96320	31782	0	80
2007.08.20	0.96350	0.97610	0.95190	0.97170	17801	0	80
2007.08.21	0.97180	0.97480	0.95830	0.96390	18758	0	80
2007.08.22	0.96430	0.97680	0.96130	0.97480	14339	0	80
2007.08.23	0.97470	0.99170	0.97400	0.98890	16953	0	80
2007.08.24	0.98910	0.99480	0.98400	0.99280	15012	0	80
2007.08.27	0.99340	1.00150	0.99270	0.99350	9293	0	80
2007.08.28	0.99340	0.99430	0.97590	0.97690	15199	0	80
2007.08.29	0.97680	0.98780	0.96820	0.98500	17919	0	80
2007.08.30	0.98460	0.98750	0.97540	0.98180	15736	0	80
2007.08.31	0.98200	0.99400	0.97890	0.98890	15848	0	80
2007.09.03	0.98530	0.99490	0.98520	0.99400	8601	0	80
2007.09.04	0.99420	1.00400	0.99120	0.99830	13885	0	80
2007.09.05	0.99820	1.00260	0.98840	0.98890	14089	0	80
2007.09.06	0.98880	0.99660	0.98530	0.99490	13968	0	80
2007.09.07	0.99500	0.99600	0.97650	0.98200	11097	0	80
2007.09.10	0.97950	0.98180	0.96870	0.97830	13976	0	80
2007.09.11	0.97840	0.99230	0.97650	0.99100	13780	0	80
2007.09.12	0.99120	0.99910	0.98720	0.99620	13012	0	80
2007.09.13	0.99530	0.99880	0.98890	0.98960	14322	0	80
2007.09.14	0.98970	1.00330	0.98860	1.00140	13856	0	80
2007.09.17	1.00040	1.00350	0.98680	0.98880	11646	0	80
2007.09.18	0.98870	1.00790	0.98170	1.00510	15686	0	80
2007.09.19	1.00500	1.01590	1.00210	1.01310	15573	0	80
2007.09.20	1.01280	1.01680	1.00880	1.01100	14999	0	80
2007.09.21	1.01110	1.01930	1.01070	1.01620	13643	0	80
2007.09.24	1.01690	1.01950	1.01350	1.01800	9345	0	80
2007.09.25	1.01790	1.01890	1.00660	1.01820	13158	0	80
2007.09.26	1.01840	1.02660	1.01610	1.02510	11870	0	80
2007.09.27	1.02500	1.03360	1.02290	1.03200	13821	0	80
2007.09.28	1.03180	1.03480	1.02760	1.03280	14322	0	80
2007.10.01	1.03270	1.04550	1.03170	1.04450	13052	0	80
2007.10.02	1.04440	1.04540	1.03200	1.03570	15137	0	80
2007.10.03	1.03620	1.04770	1.03590	1.04150	14525	0	80
2007.10.04	1.04140	1.04540	1.03790	1.04260	13961	0	80
2007.10.05	1.04250	1.05850	1.04170	1.05720	12185	0	80
2007.10.08	1.05940	1.06510	1.05750	1.05850	6637	0	80
2007.10.09	1.05850	1.06620	1.05830	1.06570	11671	0	80
2007.10.10	1.06560	1.06580	1.05700	1.06080	11229	0	80
2007.10.11	1.06070	1.07120	1.06040	1.06410	14680	0	80
2007.10.12	1.06400	1.07290	1.05870	1.07140	13889	0	80
2007.10.15	1.07290	1.07310	1.05710	1.06230	12179	0	80
2007.10.16	1.06240	1.06360	1.04360	1.05150	17646	0	80
2007.10.17	1.05180	1.05850	1.03990	1.05130	18421	0	80
2007.10.18	1.05110	1.05330	1.03930	1.04650	16280	0	80
2007.10.19	1.04640	1.05150	1.03770	1.03780	15240	0	80
2007.10.22	1.03110	1.04520	1.02550	1.04500	19347	0	80
2007.10.23	1.04490	1.05470	1.04220	1.05270	15649	0	80
2007.10.24	1.05260	1.06090	1.04950	1.05820	18431	0	80
2007.10.25	1.05830	1.05970	1.05370	1.05820	15959	0	80
2007.10.26	1.05830	1.06890	1.05750	1.06860	13080	0	80
2007.10.29	1.07020	1.07630	1.06920	1.07500	12678	0	80
2007.10.30	1.07470	1.07510	1.06320	1.06530	14872	0	80
2007.10.31	1.06550	1.08170	1.06470	1.07940	16726	0	80
2007.11.01	1.07950	1.08230	1.05460	1.05700	19410	0	80
2007.11.02	1.05720	1.06830	1.05330	1.06480	19363	0	80
2007.11.05	1.06130	1.06460	1.05610	1.06210	13506	0	80
2007.11.06	1.06190	1.06540	1.05630	1.06460	13640	0	80
2007.11.07	1.06470	1.06770	1.04140	1.04570	22243	0	80
2007.11.08	1.04590	1.05560	1.03870	1.04470	21175	0	80
2007.11.09	1.04430	1.04720	1.02020	1.02310	23192	0	80
2007.11.12	1.01700	1.02040	0.98740	0.99330	22774	0	80
2007.11.13	0.99290	1.01370	0.99060	1.01270	20044	0	80
2007.11.14	1.01300	1.01760	1.00360	1.00550	20688	0	80
2007.11.15	1.00560	1.01110	0.99130	0.99340	18696	0	80
2007.11.16	0.99360	1.00090	0.98910	0.99760	19324	0	80
2007.11.19	0.99820	1.00410	0.98140	0.98410	15986	0	80
2007.11.20	0.98420	0.99140	0.97670	0.98900	20891	0	80
2007.11.21	0.98890	0.98910	0.95570	0.96040	19029	0	80
2007.11.22	0.96050	0.96820	0.95640	0.96060	11383	0	80
2007.11.23	0.96050	0.96800	0.95000	0.96690	15625	0	80
2007.11.26	0.96960	0.97810	0.95100	0.95420	17251	0	80
2007.11.27	0.95410	0.97050	0.95360	0.96880	20523	0	80
2007.11.28	0.96890	0.99130	0.96550	0.98580	19389	0	80
2007.11.29	0.98590	0.98930	0.97990	0.98470	18814	0	80
2007.11.30	0.98470	1.00150	0.98450	0.99990	17991	0	80
2007.12.03	1.00040	1.00040	0.99040	0.99250	13879	0	80
2007.12.04	0.99230	0.99320	0.97070	0.97310	16762	0	80
2007.12.05	0.97330	0.98260	0.96870	0.98110	17157	0	80
2007.12.06	0.98120	0.99370	0.98120	0.99220	15671	0	80
2007.12.07	0.99200	0.99630	0.98730	0.98790	13692	0	80
2007.12.10	0.98710	0.99990	0.98560	0.99870	11572	0	80
2007.12.11	0.99860	1.00720	0.98410	0.98730	13318	0	80
2007.12.12	0.98710	1.01310	0.98710	1.00200	17470	0	80
2007.12.13	1.00260	1.00370	0.99450	1.00080	14911	0	80
2007.12.14	1.00110	1.00320	0.99050	0.99170	15810	0	80
2007.12.17	0.99770	0.99790	0.98270	0.98600	16812	0	80
2007.12.18	0.98620	0.99480	0.98460	0.99160	14100	0	80
2007.12.19	0.99160	0.99520	0.98880	0.99180	11938	0	80
2007.12.20	0.99190	0.99560	0.99020	0.99480	10157	0	80
2007.12.21	0.99490	1.00520	0.99400	1.00130	9676	0	80
2007.12.24	1.00350	1.00830	1.00050	1.00760	5062	0	80
2007.12.26	1.00770	1.00800	1.00280	1.00550	1590	0	80
2007.12.27	1.00620	1.00770	0.99640	0.99900	4837	0	80
2007.12.28	0.99880	1.00040	0.98250	0.98500	4350	0	80
2007.12.31	0.98840	0.99560	0.98590	0.99300	3434	0	80
2008.01.02	0.99280	0.99480	0.98130	0.98900	8622	0	80
2008.01.03	0.98910	0.98980	0.97630	0.97860	13354	0	80
2008.01.04	0.97870	0.98340	0.96250	0.96640	13540	0	80
2008.01.07	0.96500	0.97780	0.96480	0.97450	12922	0	80
2008.01.08	0.97440	0.98610	0.97220	0.97780	15011	0	80
2008.01.09	0.97790	0.98710	0.97680	0.98630	16155	0	80
2008.01.10	0.98650	0.99140	0.97860	0.98600	17454	0	80
2008.01.11	0.98620	0.99010	0.98000	0.98090	15232	0	80
2008.01.14	0.97900	0.98640	0.97760	0.98210	12899	0	80
2008.01.15	0.98230	0.98420	0.95950	0.96450	18452	0	80
2008.01.16	0.96460	0.97330	0.95330	0.96720	25357	0	80
2008.01.17	0.96710	0.97850	0.96380	0.96620	23724	0	80
2008.01.18	0.96610	0.97370	0.95880	0.96520	22525	0	80
2008.01.21	0.96920	0.97060	0.95030	0.95220	19602	0	80
2008.01.22	0.95200	0.95790	0.94410	0.95020	24028	0	80
2008.01.23	0.95040	0.95900	0.93740	0.95250	27802	0	80
2008.01.24	0.95240	0.96090	0.94660	0.95980	16946	0	80
2008.01.25	0.95990	0.96980	0.95720	0.96440	20713	0	80
2008.01.28	0.96350	0.96900	0.95760	0.96810	14314	0	80
2008.01.29	0.96830	0.97420	0.96500	0.97110	15532	0	80
2008.01.30	0.97100	0.97900	0.96180	0.96430	18328	0	80
2008.01.31	0.96410	0.97340	0.95550	0.96890	25213	0	80
2008.02.01	0.96880	0.98540	0.96580	0.98500	19641	0	80
2008.02.04	0.98300	0.99230	0.98180	0.98750	14912	0	80
2008.02.05	0.98760	0.99830	0.98330	0.98480	19383	0	80
2008.02.06	0.98520	0.98730	0.97790	0.98130	20098	0	80
2008.02.07	0.98050	0.99240	0.97290	0.98690	22437	0	80
2008.02.08	0.98720	0.99270	0.98430	0.98750	16680	0	80
2008.02.11	0.98840	0.99820	0.98730	0.99550	17802	0	80
2008.02.12	0.99570	1.00040	0.99340	0.99600	13276	0	80
2008.02.13	0.99610	0.99780	0.98830	0.99250	21412	0	80
2008.02.14	0.99220	1.00310	0.98810	0.98820	18770	0	80
2008.02.15	0.98810	0.99560	0.98520	0.99350	17757	0	80
2008.02.18	0.99200	1.00870	0.99170	1.00820	12305	0	80
2008.02.19	1.00840	1.01340	1.00310	1.00720	20530	0	80
2008.02.20	1.00740	1.01100	0.99980	1.01040	20333	0	80
2008.02.21	1.01010	1.01330	0.99850	1.00110	18675	0	80
2008.02.22	1.00120	1.00530	0.99670	1.00250	18023	0	80
2008.02.25	1.00180	1.01050	1.00040	1.01040	3499	0	80
2008.02.26	1.01030	1.01300	1.00030	1.00320	18374	0	80
2008.02.27	1.00290	1.00530	0.99740	1.00000	21949	0	80
2008.02.28	0.99990	1.00440	0.99440	0.99670	21834	0	80
2008.02.29	0.99690	0.99690	0.96760	0.96880	23947	0	80
2008.03.03	0.96260	0.98200	0.96010	0.97920	11056	0	80
2008.03.04	0.97920	0.97940	0.95400	0.96130	22956	0	80
2008.03.05	0.96120	0.97070	0.95890	0.96750	21256	0	80
2008.03.06	0.96770	0.97040	0.94480	0.94630	21754	0	80
2008.03.07	0.94650	0.95740	0.94610	0.94980	14103	0	80
2008.03.10	0.94630	0.95050	0.93230	0.93360	14379	0	80
2008.03.11	0.93370	0.96270	0.93120	0.96020	20867	0	80
2008.03.12	0.96020	0.96100	0.94470	0.94990	18145	0	80
2008.03.13	0.94980	0.95970	0.94070	0.95510	24617	0	80
2008.03.14	0.95500	0.95630	0.93370	0.93560	17625	0	80
2008.03.17	0.93250	0.93870	0.88800	0.90840	35076	0	80
2008.03.18	0.90860	0.93650	0.90020	0.93120	25626	0	80
2008.03.19	0.93130	0.93270	0.90820	0.91100	16867	0	80
2008.03.20	0.91090	0.92160	0.90470	0.90570	9863	0	80
2008.03.21	0.90560	0.91120	0.90410	0.90990	3283	0	80
2008.03.24	0.91040	0.92950	0.90990	0.92640	10999	0	80
2008.03.25	0.92610	0.92910	0.91790	0.92320	18369	0	80
2008.03.26	0.92280	0.92570	0.90670	0.91030	20735	0	80
2008.03.27	0.91040	0.91990	0.90780	0.91230	21592	0	80
2008.03.28	0.91240	0.92030	0.91010	0.91260	20699	0	80
2008.03.31	0.90960	0.91530	0.89970	0.90860	16895	0	80
2008.04.01	0.90870	0.92030	0.90460	0.91750	20844	0	80
2008.04.02	0.91780	0.92690	0.91710	0.92140	19858	0	80
2008.04.03	0.92160	0.93210	0.92000	0.92340	20133	0	80
2008.04.04	0.92360	0.93040	0.91970	0.92780	19295	0	80
2008.04.07	0.92650	0.94220	0.92570	0.93700	16273	0	80
2008.04.08	0.93640	0.94560	0.93190	0.94430	18572	0	80
2008.04.09	0.94430	0.94670	0.92710	0.92990	18840	0	80
2008.04.10	0.93000	0.94040	0.92240	0.93820	22488	0	80
2008.04.11	0.93810	0.94080	0.92590	0.92850	19670	0	80
2008.04.14	0.93130	0.93240	0.91770	0.92600	20139	0	80
2008.04.15	0.92580	0.93370	0.92200	0.93250	18720	0	80
2008.04.16	0.93280	0.94000	0.92700	0.93910	20647	0	80
2008.04.17	0.93900	0.94490	0.93450	0.94190	21228	0	80
2008.04.18	0.94210	0.95730	0.94120	0.95140	21642	0	80
2008.04.21	0.94920	0.95870	0.94700	0.95030	19760	0	80
2008.04.22	0.95020	0.95440	0.94530	0.94750	20946	0	80
2008.04.23	0.94760	0.96540	0.94740	0.96150	21460	0	80
2008.04.24	0.96140	0.97470	0.95980	0.97180	22719	0	80
2008.04.25	0.97170	0.97430	0.96210	0.96510	23294	0	80
2008.04.28	0.96650	0.97330	0.96600	0.96960	13960	0	80
2008.04.29	0.96970	0.97150	0.96110	0.96730	21129	0	80
2008.04.30	0.96740	0.98300	0.96490	0.97580	24206	0	80
2008.05.01	0.97600	0.98100	0.97050	0.97660	18913	0	80
2008.05.02	0.97640	0.99180	0.97310	0.98770	21276	0	80
2008.05.05	0.98640	0.99930	0.98510	0.99640	14044	0	80
2008.05.06	0.99630	0.99990	0.98780	0.99870	19074	0	80
2008.05.07	0.99850	1.00070	0.99190	0.99300	19859	0	80
2008.05.08	0.99310	0.99670	0.98750	0.99030	24716	0	80
2008.05.09	0.99040	0.99270	0.97520	0.98210	21003	0	80
2008.05.12	0.98160	0.99190	0.97790	0.98890	18963	0	80
2008.05.13	0.98880	0.99410	0.98420	0.98980	21660	0	80
2008.05.14	0.98970	0.99200	0.98300	0.98380	20574	0	80
2008.05.15	0.98390	0.99480	0.97960	0.99310	23624	0	80
2008.05.16	0.99270	1.00530	0.99190	1.00080	20086	0	80
2008.05.19	0.99960	1.00660	0.99500	1.00280	9416	0	80
2008.05.20	1.00270	1.00800	0.99120	0.99320	19008	0	80
2008.05.21	0.99350	0.99660	0.98530	0.98620	20318	0	80
2008.05.22	0.98640	0.99120	0.98360	0.98580	17853	0	80
2008.05.23	0.98570	0.99080	0.98110	0.98200	16583	0	80
2008.05.26	0.98270	0.98650	0.98150	0.98330	8750	0	80
2008.05.27	0.98360	0.99230	0.98300	0.99150	17807	0	80
2008.05.28	0.99140	0.99920	0.98680	0.99750	20353	0	80
2008.05.29	0.99760	1.00500	0.99670	1.00240	18322	0	80
2008.05.30	1.00250	1.00460	0.99430	0.99580	17435	0	80
2008.06.02	0.99440	0.99850	0.98510	0.99050	19883	0	80
2008.06.03	0.99050	0.99810	0.98490	0.99210	23427	0	80
2008.06.04	0.99220	1.00210	0.98720	0.99650	21893	0	80
2008.06.05	0.99660	1.00210	0.99140	0.99470	20174	0	80
2008.06.06	0.99480	0.99810	0.98010	0.98030	20065	0	80
2008.06.09	0.97820	0.98260	0.97260	0.97480	23111	0	80
2008.06.10	0.97470	0.98710	0.97460	0.98550	25176	0	80
2008.06.11	0.98540	0.98860	0.97570	0.97700	20237	0	80
2008.06.12	0.97690	0.97930	0.97030	0.97320	25156	0	80
2008.06.13	0.97330	0.98700	0.97280	0.98260	21644	0	80
2008.06.16	0.98210	0.98630	0.97730	0.98240	17346	0	80
2008.06.17	0.98250	0.98490	0.97750	0.98300	20548	0	80
2008.06.18	0.98290	0.98450	0.97970	0.98040	17325	0	80
2008.06.19	0.98050	0.99570	0.97620	0.99200	19835	0	80
2008.06.20	0.99210	0.99290	0.98420	0.98710	18009	0	80
2008.06.23	0.98660	0.99650	0.98620	0.99470	17932	0	80
2008.06.24	0.99440	0.99640	0.99050	0.99550	17597	0	80
2008.06.25	0.99540	0.99690	0.99100	0.99220	17551	0	80
2008.06.26	0.99230	0.99540	0.97670	0.97790	20710	0	80
2008.06.27	0.97780	0.98530	0.97590	0.97840	19445	0	80
2008.06.30	0.97910	0.98310	0.97470	0.97780	18407	0	80
2008.07.01	0.97790	0.97940	0.96560	0.97360	21006	0	80
2008.07.02	0.97380	0.98140	0.97060	0.97480	20123	0	80
2008.07.03	0.97470	0.98740	0.97220	0.98480	17956	0	80
2008.07.04	0.98520	0.98840	0.98380	0.98740	10745	0	80
2008.07.07	0.98660	0.99040	0.97750	0.98090	18102	0	80
2008.07.08	0.98080	0.98690	0.97460	0.98480	18230	0	80
2008.07.09	0.98490	0.98850	0.97770	0.98240	19361	0	80
2008.07.10	0.98260	0.99310	0.98210	0.98790	18198	0	80
2008.07.11	0.98810	0.99010	0.98030	0.98150	19217	0	80
2008.07.14	0.98540	0.99250	0.98440	0.98750	18647	0	80
2008.07.15	0.98740	0.99170	0.98450	0.98640	23893	0	80
2008.07.16	0.98650	0.99170	0.98160	0.99090	21310	0	80
2008.07.17	0.99100	0.99530	0.98910	0.99170	21506	0	80
2008.07.18	0.99160	0.99510	0.98920	0.99190	15901	0	80
2008.07.21	0.99340	0.99830	0.99240	0.99310	15878	0	80
2008.07.22	0.99320	1.00200	0.99110	1.00050	17424	0	80
2008.07.23	1.00040	1.00270	0.99590	0.99700	22229	0	80
2008.07.24	0.99720	0.99880	0.99040	0.99310	20461	0	80
2008.07.25	0.99320	0.99440	0.98730	0.99060	19434	0	80
2008.07.28	0.98950	0.99270	0.98800	0.98950	15088	0	80
2008.07.29	0.98940	0.99740	0.98700	0.99590	16250	0	80
2008.07.30	0.99600	0.99610	0.98610	0.98970	19651	0	80
2008.07.31	0.98980	0.99080	0.98400	0.98580	18557	0	80
2008.08.01	0.98570	0.98620	0.97470	0.97490	19788	0	80
2008.08.04	0.97520	0.97870	0.97280	0.97410	14752	0	80
2008.08.05	0.97420	0.97540	0.96250	0.96550	20101	0	80
2008.08.06	0.96540	0.96740	0.96040	0.96250	16139	0	80
2008.08.07	0.96260	0.96570	0.95960	0.95980	18899	0	80
2008.08.08	0.95990	0.96550	0.95390	0.96150	25855	0	80
2008.08.11	0.96080	0.96270	0.95590	0.95820	23710	0	80
2008.08.12	0.95810	0.96030	0.94550	0.94650	25320	0	80
2008.08.13	0.94640	0.95250	0.93230	0.94910	27726	0	80
2008.08.14	0.94920	0.95470	0.94070	0.95150	24285	0	80
2008.08.15	0.95160	0.95290	0.94520	0.94900	22548	0	80
2008.08.18	0.94990	0.96050	0.94850	0.95340	18787	0	80
2008.08.19	0.95330	0.95450	0.94740	0.95120	20784	0	80
2008.08.20	0.95110	0.96060	0.94980	0.95850	14315	0	80
2008.08.21	0.95840	0.95940	0.94870	0.95510	18962	0	80
2008.08.22	0.95520	0.95790	0.95020	0.95140	9242	0	80
2008.08.25	0.95260	0.95470	0.94490	0.94570	15212	0	80
2008.08.26	0.94580	0.94720	0.93880	0.93950	21934	0	80
2008.08.27	0.93940	0.94560	0.93840	0.94170	21696	0	80
2008.08.28	0.94160	0.94900	0.94040	0.94720	22806	0	80
2008.08.29	0.94710	0.94910	0.94220	0.94470	19069	0	80
2008.09.01	0.93970	0.94370	0.93380	0.93550	15780	0	80
2008.09.02	0.93560	0.94130	0.91940	0.92560	26698	0	80
2008.09.03	0.92580	0.93150	0.91590	0.92370	26523	0	80
2008.09.04	0.92380	0.92710	0.90560	0.90670	27551	0	80
2008.09.05	0.90680	0.91410	0.89410	0.91250	35151	0	80
2008.09.08	0.92940	0.93230	0.91630	0.92170	32456	0	80
2008.09.09	0.92160	0.92280	0.90030	0.90100	33951	0	80
2008.09.10	0.90110	0.91680	0.90000	0.90670	33140	0	80
2008.09.11	0.90680	0.91980	0.90030	0.91750	31738	0	80
2008.09.12	0.91760	0.93170	0.91000	0.93060	32868	0	80
2008.09.15	0.91420	0.92150	0.89340	0.89650	42809	0	80
2008.09.16	0.89640	0.90310	0.86780	0.89420	45445	0	80
2008.09.17	0.89460	0.90390	0.86470	0.86770	43410	0	80
2008.09.18	0.86780	0.89000	0.86640	0.88930	43278	0	80
