<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.01.07	70.660	70.850	70.300	70.640	145	0	120
1999.01.08	70.610	71.030	69.990	70.270	577	0	120
1999.01.11	69.930	70.260	69.410	69.690	598	0	120
1999.01.12	69.740	71.980	69.580	71.640	601	0	120
1999.01.13	71.650	72.070	70.490	71.660	605	0	120
1999.01.14	71.630	72.640	71.230	71.500	565	0	120
1999.01.15	71.430	72.630	70.730	72.310	571	0	120
1999.01.18	72.460	73.050	72.020	72.540	534	0	120
1999.01.19	72.510	72.940	71.940	72.570	599	0	120
1999.01.20	72.540	72.960	72.030	72.280	596	0	120
1999.01.21	72.350	73.710	71.590	72.940	579	0	120
1999.01.22	73.040	73.170	72.200	72.490	565	0	120
1999.01.25	72.550	72.700	71.580	71.730	521	0	120
1999.01.26	71.740	72.050	71.380	71.800	608	0	120
1999.01.27	71.730	72.940	71.590	72.700	587	0	120
1999.01.28	72.760	73.250	71.980	72.970	613	0	120
1999.01.29	73.040	73.450	72.760	73.330	558	0	120
1999.02.01	73.250	73.430	72.890	73.180	562	0	120
1999.02.02	73.200	73.410	71.360	71.360	591	0	120
1999.02.03	71.380	72.620	71.340	72.440	610	0	120
1999.02.04	72.470	73.020	72.140	72.620	601	0	120
1999.02.05	72.580	74.140	72.580	73.640	592	0	120
1999.02.08	73.700	74.930	73.480	74.430	582	0	120
1999.02.09	74.380	74.450	73.520	73.580	613	0	120
1999.02.10	73.590	74.600	73.440	73.950	599	0	120
1999.02.11	73.920	74.580	73.540	74.210	571	0	120
1999.02.12	74.190	74.310	73.440	73.760	528	0	120
1999.02.15	73.790	74.860	73.660	74.770	539	0	120
1999.02.16	74.800	75.660	74.610	75.420	621	0	120
1999.02.17	75.430	75.680	74.930	75.450	607	0	120
1999.02.18	75.480	76.340	75.330	76.170	578	0	120
1999.02.19	76.130	77.820	76.040	77.760	581	0	120
1999.02.22	77.790	78.210	76.900	77.710	628	0	120
1999.02.23	77.700	77.850	76.560	77.390	630	0	120
1999.02.24	77.360	77.490	76.430	76.820	593	0	120
1999.02.25	76.850	76.930	74.530	74.920	602	0	120
1999.02.26	74.680	75.540	73.390	73.760	584	0	120
1999.03.01	73.840	74.330	73.480	74.330	582	0	120
1999.03.02	74.290	75.250	74.200	74.670	585	0	120
1999.03.03	74.630	75.980	74.630	75.800	588	0	120
1999.03.04	75.780	77.510	75.770	77.430	604	0	120
1999.03.05	77.390	77.390	76.710	77.100	509	0	120
1999.03.08	77.150	77.430	76.040	76.860	592	0	120
1999.03.09	76.870	77.500	76.220	76.850	591	0	120
1999.03.10	76.860	77.170	76.040	76.340	592	0	120
1999.03.11	76.250	76.740	75.510	75.830	596	0	120
1999.03.12	75.870	76.410	75.470	75.530	564	0	120
1999.03.15	75.640	75.770	73.880	74.180	595	0	120
1999.03.16	74.190	74.440	73.300	73.420	553	0	120
1999.03.17	73.390	74.770	73.210	74.220	604	0	120
1999.03.18	74.180	74.770	73.750	73.880	597	0	120
1999.03.19	73.900	74.080	73.310	73.750	579	0	120
1999.03.22	73.730	75.510	73.730	75.400	559	0	120
1999.03.23	75.420	75.950	75.230	75.540	580	0	120
1999.03.24	75.570	75.760	74.830	75.320	596	0	120
1999.03.25	75.300	75.510	74.950	75.370	587	0	120
1999.03.26	75.350	76.510	75.210	76.440	562	0	120
1999.03.29	76.340	76.510	75.610	76.070	469	0	120
1999.03.30	76.040	76.080	75.150	75.450	262	0	120
