<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.01.04	1.18010	1.18620	1.17690	1.18150	3858	0	50
1999.01.05	1.18150	1.18350	1.17500	1.17580	4793	0	50
1999.01.06	1.17610	1.17730	1.15530	1.16230	4828	0	50
1999.01.07	1.16230	1.17350	1.16120	1.17120	5076	0	50
1999.01.08	1.17130	1.17200	1.15330	1.15850	5120	0	50
1999.01.11	1.15750	1.16100	1.14870	1.15030	4960	0	50
1999.01.12	1.15040	1.15800	1.14470	1.15550	5248	0	50
1999.01.13	1.15610	1.17900	1.15530	1.16810	6623	0	50
1999.01.14	1.16730	1.17280	1.16140	1.16810	5472	0	50
1999.01.15	1.16830	1.17490	1.15520	1.15630	6529	0	50
1999.01.18	1.15650	1.16200	1.15640	1.16050	4054	0	50
1999.01.19	1.16050	1.16420	1.15630	1.16030	5595	0	50
1999.01.20	1.15980	1.16110	1.15390	1.15660	5736	0	50
1999.01.21	1.15670	1.16190	1.15450	1.16010	5230	0	50
1999.01.22	1.16050	1.16260	1.15590	1.15870	4559	0	50
1999.01.25	1.15790	1.16080	1.15470	1.15520	3774	0	50
1999.01.26	1.15550	1.15910	1.15500	1.15620	5465	0	50
1999.01.27	1.15620	1.15650	1.14080	1.14400	5975	0	50
1999.01.28	1.14450	1.14700	1.13780	1.14070	5187	0	50
1999.01.29	1.14070	1.14330	1.13420	1.13670	5926	0	50
1999.02.01	1.13820	1.13970	1.12900	1.13230	5667	0	50
1999.02.02	1.13230	1.13650	1.12840	1.13520	5793	0	50
1999.02.03	1.13530	1.13630	1.13000	1.13060	4360	0	50
1999.02.04	1.13090	1.13460	1.12470	1.13440	5404	0	50
1999.02.05	1.13430	1.13730	1.12530	1.12600	4947	0	50
1999.02.08	1.12620	1.13300	1.12200	1.13150	4235	0	50
1999.02.09	1.13120	1.13450	1.12810	1.13150	4448	0	50
1999.02.10	1.13140	1.13600	1.12700	1.13260	4774	0	50
1999.02.11	1.13230	1.13360	1.12140	1.12180	4279	0	50
1999.02.12	1.12190	1.13080	1.12160	1.13060	4153	0	50
1999.02.15	1.12990	1.13040	1.12210	1.12240	3527	0	50
1999.02.16	1.12270	1.12380	1.11580	1.12110	4427	0	50
1999.02.17	1.12120	1.12670	1.12000	1.12470	3767	0	50
1999.02.18	1.12460	1.12800	1.11850	1.11980	4116	0	50
1999.02.19	1.11970	1.12110	1.10550	1.10580	4755	0	50
1999.02.22	1.10520	1.10640	1.09620	1.10230	4426	0	50
1999.02.23	1.10240	1.10700	1.09410	1.10090	4178	0	50
1999.02.24	1.10090	1.10470	1.09260	1.10050	4638	0	50
1999.02.25	1.10040	1.10790	1.09830	1.10330	4590	0	50
1999.02.26	1.10260	1.10470	1.09550	1.10250	5065	0	50
1999.03.01	1.09880	1.10250	1.08840	1.08980	5631	0	50
1999.03.02	1.08960	1.09470	1.08570	1.09420	4575	0	50
1999.03.03	1.09410	1.09460	1.08690	1.08720	4857	0	50
1999.03.04	1.08700	1.08800	1.07900	1.08050	4803	0	50
1999.03.05	1.08060	1.08670	1.07860	1.08180	3932	0	50
1999.03.08	1.08210	1.09250	1.08020	1.08870	4472	0	50
1999.03.09	1.08870	1.09200	1.08570	1.08900	4813	0	50
1999.03.10	1.08880	1.09750	1.08770	1.09430	5010	0	50
1999.03.11	1.09430	1.10570	1.07980	1.10370	5807	0	50
1999.03.12	1.10380	1.10410	1.08920	1.09050	5392	0	50
