<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.01.04	113.470	114.360	111.570	111.940	6226	0	50
1999.01.05	112.060	112.420	110.510	111.920	6367	0	50
1999.01.06	111.820	113.430	111.600	112.770	6225	0	50
1999.01.07	112.720	113.020	109.770	111.330	6671	0	50
1999.01.08	111.370	112.170	110.520	110.800	10700	0	50
1999.01.11	110.270	111.000	108.220	109.020	9168	0	50
1999.01.12	108.970	112.850	108.640	112.600	10131	0	50
1999.01.13	112.620	114.130	111.110	113.520	7265	0	50
1999.01.14	113.440	114.450	112.820	113.520	6335	0	50
1999.01.15	113.450	114.210	112.270	114.150	5479	0	50
1999.01.18	114.170	115.010	113.340	114.160	5482	0	50
1999.01.19	114.200	114.970	113.350	113.520	5702	0	50
1999.01.20	113.620	114.060	112.660	112.910	5919	0	50
1999.01.21	113.000	114.420	112.320	113.870	6251	0	50
1999.01.22	113.900	114.740	113.500	114.560	5453	0	50
1999.01.25	114.570	114.820	113.570	113.720	4696	0	50
1999.01.26	113.730	114.280	113.300	113.860	5805	0	50
1999.01.27	113.810	116.140	113.470	115.630	6148	0	50
1999.01.28	115.620	116.830	115.170	116.290	7200	0	50
1999.01.29	116.260	116.500	115.730	116.330	6129	0	50
1999.02.01	115.970	116.020	114.790	115.090	5527	0	50
1999.02.02	115.100	115.200	111.910	111.930	7519	0	50
1999.02.03	111.950	113.160	111.750	112.910	5929	0	50
1999.02.04	112.920	114.100	111.600	112.090	6991	0	50
1999.02.05	112.070	113.730	111.340	113.130	7043	0	50
1999.02.08	112.990	115.000	112.720	114.560	5505	0	50
1999.02.09	114.540	114.920	113.900	114.020	6509	0	50
1999.02.10	113.820	115.520	113.700	114.320	6802	0	50
1999.02.11	114.290	114.830	113.590	114.650	5409	0	50
1999.02.12	114.670	115.780	113.850	114.000	7430	0	50
1999.02.15	114.050	115.970	113.800	115.920	5125	0	50
1999.02.16	115.970	118.860	115.650	118.670	7235	0	50
1999.02.17	118.680	119.250	117.980	118.720	6231	0	50
1999.02.18	118.730	120.140	118.320	119.680	6303	0	50
