<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.02	3575.6	3577.0	3553.7	3563.6	347	0	0
2014.01.03	3564.9	3567.5	3537.6	3538.7	337	0	0
2014.01.06	3539.0	3542.5	3512.5	3527.0	481	0	0
2014.01.07	3539.3	3563.0	3535.5	3557.9	365	0	0
2014.01.08	3558.3	3575.2	3551.1	3567.5	391	0	0
2014.01.09	3576.3	3579.4	3541.8	3552.6	516	0	0
2014.01.10	3565.7	3568.5	3536.5	3565.1	635	0	0
2014.01.13	3559.4	3572.4	3499.4	3512.8	995	0	0
2014.01.14	3526.2	3581.6	3525.5	3580.7	578	0	0
2014.01.15	3593.8	3615.7	3592.6	3609.8	303	0	0
2014.01.16	3605.4	3614.7	3599.9	3611.3	238	0	0
2014.01.17	3597.4	3608.7	3580.4	3591.3	506	0	0
2014.01.21	3611.6	3617.7	3586.1	3617.7	572	0	0
2014.01.22	3623.3	3634.7	3615.5	3627.7	341	0	0
2014.01.23	3612.5	3613.9	3588.8	3613.8	490	0	0
2014.01.24	3596.9	3601.0	3541.4	3541.5	639	0	0
2014.01.27	3543.5	3548.5	3482.9	3509.0	968	0	0
2014.01.28	3484.4	3509.8	3483.7	3505.7	310	0	0
2014.01.29	3472.4	3500.8	3461.6	3467.8	739	0	0
2014.01.30	3514.3	3544.2	3508.0	3532.4	544	0	0
2014.01.31	3488.4	3539.4	3488.0	3521.9	694	0	0
2014.02.03	3524.2	3533.5	3433.6	3440.5	1162	0	0
2014.02.04	3460.1	3480.7	3449.2	3470.2	530	0	0
2014.02.05	3457.0	3469.4	3418.9	3454.9	990	0	0
2014.02.06	3465.8	3502.5	3465.4	3497.6	425	0	0
2014.02.07	3522.3	3563.1	3508.8	3561.9	691	0	0
2014.02.10	3558.6	3582.8	3557.8	3582.1	266	0	0
2014.02.11	3587.6	3628.6	3585.1	3621.7	530	0	0
2014.02.12	3626.1	3635.9	3618.1	3627.4	344	0	0
2014.02.13	3601.8	3659.6	3600.9	3659.6	597	0	0
2014.02.14	3652.9	3671.0	3643.8	3663.9	435	0	0
2014.02.18	3669.0	3685.2	3658.6	3679.4	429	0	0
2014.02.19	3668.7	3679.7	3646.1	3652.9	515	0	0
2014.02.20	3654.9	3676.9	3640.6	3671.9	557	0	0
2014.02.21	3683.4	3687.2	3661.5	3662.6	307	0	0
2014.02.24	3670.1	3701.3	3668.3	3685.8	504	0	0
2014.02.25	3689.7	3697.6	3669.5	3679.1	457	0	0
2014.02.26	3691.8	3702.1	3663.8	3676.6	615	0	0
2014.02.27	3678.3	3704.7	3672.6	3699.8	428	0	0
2014.02.28	3703.5	3722.4	3664.8	3696.1	1079	0	0
2014.03.03	3657.3	3678.4	3637.7	3668.4	704	0	0
2014.03.04	3710.2	3723.0	3706.8	3719.9	228	0	0
2014.03.05	3721.5	3733.0	3715.4	3727.2	296	0	0
2014.03.06	3735.9	3738.3	3709.4	3720.9	429	0	0
2014.03.07	3736.9	3737.4	3686.9	3703.4	676	0	0
2014.03.10	3702.1	3709.8	3684.0	3706.3	475	0	0
2014.03.11	3715.9	3725.7	3681.4	3691.5	643	0	0
2014.03.12	3678.4	3707.2	3661.9	3707.1	620	0	0
2014.03.13	3719.4	3720.6	3636.8	3651.5	998	0	0
2014.03.14	3643.2	3656.9	3626.9	3627.9	448	0	0
2014.03.17	3653.2	3678.3	3651.1	3662.5	452	0	0
2014.03.18	3667.4	3708.3	3664.8	3706.6	479	0	0
2014.03.19	3705.5	3709.0	3661.1	3682.7	731	0	0
2014.03.20	3675.6	3705.3	3665.8	3694.0	607	0	0
2014.03.21	3711.5	3717.4	3643.4	3653.1	897	0	0
2014.03.24	3665.4	3665.6	3585.2	3617.4	1129	0	0
2014.03.25	3640.3	3659.6	3600.7	3629.7	1073	0	0
2014.03.26	3645.7	3654.7	3582.8	3582.9	811	0	0
2014.03.27	3578.5	3594.1	3543.1	3563.1	867	0	0
2014.03.28	3576.2	3609.1	3560.6	3571.5	924	0	0
2014.03.31	3598.1	3618.4	3593.7	3595.7	471	0	0
2014.04.01	3615.9	3659.2	3614.2	3658.4	476	0	0
2014.04.02	3670.3	3676.4	3649.8	3666.0	490	0	0
2014.04.03	3670.4	3675.7	3617.4	3637.6	839	0	0
2014.04.04	3659.9	3663.8	3532.3	3539.4	1426	0	0
2014.04.07	3522.2	3551.2	3482.8	3507.8	1225	0	0
