<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.02	1842.5	1845.5	1826.9	1832.9	277	0	0
2014.01.03	1833.2	1837.9	1825.7	1836.5	212	0	0
2014.01.06	1832.7	1837.7	1823.0	1826.5	233	0	0
2014.01.07	1826.6	1840.5	1826.0	1836.0	197	0	0
2014.01.08	1835.9	1840.0	1831.0	1836.0	180	0	0
2014.01.09	1836.2	1844.2	1829.7	1838.2	271	0	0
2014.01.10	1838.5	1847.5	1831.7	1843.0	272	0	0
2014.01.13	1843.0	1843.3	1815.0	1821.2	349	0	0
2014.01.14	1821.0	1839.5	1818.2	1838.5	252	0	0
2014.01.15	1838.2	1850.7	1837.0	1847.7	180	0	0
2014.01.16	1848.0	1849.0	1840.5	1842.0	111	0	0
2014.01.17	1842.2	1848.5	1835.2	1840.0	245	0	0
2014.01.20	1840.2	1840.5	1836.0	1839.7	86	0	0
2014.01.21	1840.0	1849.7	1832.0	1841.5	340	0	0
2014.01.22	1841.7	1849.1	1840.0	1848.6	114	0	0
2014.01.23	1848.4	1848.4	1819.7	1829.5	386	0	0
2014.01.24	1829.7	1833.7	1787.2	1787.2	506	0	0
2014.01.27	1786.2	1797.7	1772.5	1780.7	450	0	0
2014.01.28	1781.0	1806.4	1780.0	1800.6	333	0	0
2014.01.29	1800.5	1805.1	1769.8	1780.7	509	0	0
2014.01.30	1780.5	1799.0	1773.2	1789.0	432	0	0
2014.01.31	1788.7	1793.5	1766.7	1783.2	482	0	0
2014.02.03	1787.9	1788.7	1737.7	1744.6	588	0	0
2014.02.04	1744.4	1759.2	1739.4	1751.2	329	0	0
2014.02.05	1751.0	1756.0	1737.5	1750.2	363	0	0
2014.02.06	1749.9	1774.2	1748.7	1772.7	283	0	0
2014.02.07	1772.4	1798.2	1762.9	1798.2	449	0	0
2014.02.10	1796.1	1800.7	1790.7	1799.5	167	0	0
2014.02.11	1799.6	1824.2	1799.6	1816.7	322	0	0
2014.02.12	1817.0	1827.0	1815.2	1818.7	220	0	0
