<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.27	18200	18264	18145	18207	7463	0	0
2016.10.28	18208	18254	18091	18092	8882	0	0
2016.10.31	18150	18227	18128	18141	7070	0	0
2016.11.01	18140	18206	17936	17983	8399	0	0
2016.11.02	17984	18049	17914	17983	10248	0	0
2016.11.03	17984	18018	17926	17961	8889	0	0
2016.11.04	17960	17985	17880	17938	8828	0	0
2016.11.07	18118	18248	18066	18243	5671	0	0
2016.11.08	18243	18402	18187	18370	7451	0	0
2016.11.09	18369	18553	17476	18533	35013	0	0
2016.11.10	18533	18877	18523	18853	16128	0	0
2016.11.11	18854	18889	18739	18800	13684	0	0
2016.11.14	18893	18970	18814	18847	10492	0	0
2016.11.15	18845	18918	18807	18850	8896	0	0
2016.11.16	18850	18945	18823	18859	7836	0	0
2016.11.17	18860	18898	18841	18868	7103	0	0
2016.11.18	18868	18913	18847	18874	6517	0	0
2016.11.21	18880	18946	18857	18935	5624	0	0
2016.11.22	18935	19029	18928	19000	6294	0	0
2016.11.23	19001	19075	18992	19061	6017	0	0
2016.11.24	19061	19146	19050	19139	4786	0	0
2016.11.25	19129	19165	19118	19161	4689	0	0
2016.11.28	19137	19142	19070	19120	6229	0	0
2016.11.29	19121	19143	19070	19136	6192	0	0
2016.11.30	19137	19221	19105	19187	6799	0	0
2016.12.01	19187	19212	19117	19165	7934	0	0
2016.12.02	19166	19200	19142	19154	7087	0	0
2016.12.05	19114	19282	19112	19217	7542	0	0
2016.12.06	19216	19241	19184	19228	6131	0	0
2016.12.07	19227	19543	19219	19533	6094	0	0
2016.12.08	19534	19661	19491	19656	8560	0	0
2016.12.09	19655	19695	19593	19688	6377	0	0
2016.12.12	19844	19856	19746	19767	6868	0	0
2016.12.13	19767	19955	19764	19934	7102	0	0
2016.12.14	19934	19935	19864	19920	6272	0	0
2016.12.15	19921	19964	19746	19844	11727	0	0
2016.12.16	19844	19921	19821	19839	7226	0	0
2016.12.19	19881	19917	19850	19897	4934	0	0
2016.12.20	19898	19988	19858	19974	5381	0	0
2016.12.21	19975	19985	19937	19952	4738	0	0
2016.12.22	19952	19967	19883	19920	4726	0	0
2016.12.23	19921	19942	19893	19915	4046	0	0
2016.12.27	19923	19976	19913	19960	2739	0	0
2016.12.28	19959	19978	19854	19857	4477	0	0
2016.12.29	19856	19874	19786	19818	5923	0	0
2016.12.30	19818	19872	19777	19780	5815	0	0
